CodEstable,NomEstable,CodSede,NomSede,Tipo,Zona,Direccion,Telefono,EstadoSede,Niveles,Modelos,Grados,X,Y
154001001628,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE SALES,154001002349,COL BAS ATANASIO GIRARDOT NO 34,SEDE,URBANA,AV 13A NO 20-14 BARRIO ALFONSO LOPEZ,5821882,ANTIGUO-ACTIVO,BÁSICA PRIMARIA,EDUCACIÓN TRADICIONAL,"2,3,4,5",841843.6294,1363045.154
154001001628,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE SALES,154001008177,INST EDUC COL JOSE PRUDENCIO PADILLA,SEDE,URBANA,CLL 17A NO 10-15 BARRIO CAMILO TORRES,5824493,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA",EDUCACIÓN TRADICIONAL,"6,7,8,9,10,11",842243.6412,1363220.354
154001001628,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE SALES,154001001628,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE SALES,PRINCIPAL,URBANA,AV 4 E 6 23, ,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,20,22,23,24,25,26",843704.0245,1364869.339
154001000788,COL CLUB DE LEONES,154001000788,COL CLUB DE LEONES,PRINCIPAL,URBANA,AV 5 NO 6-63,5845014,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26",845373.4716,1365339.455
154001000788,COL CLUB DE LEONES,154001005224,ESC URB SAN JUAN BOSCO NO 73,SEDE,URBANA,CLL 1 AV 9-10 ALTO PAMPLONITA,5764889,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5,6",845904.2501,1365811.34
154001000788,COL CLUB DE LEONES,254001000758,CENT DOC EL ESCOBAL,SEDE,URBANA,CLL 3 CR 5 BARRIO EL ESCOBAL,5849767,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,22,23,24,25,26",847080.4373,1367024.348
154001000788,COL CLUB DE LEONES,254001000774,ESC RURAL INTEGD BOCONO,SEDE,URBANA,AV 0 NO 0-280 VIA BOCONO,5842079,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",847284.9422,1365130.689
154001000788,COL CLUB DE LEONES,154001008924,ESC RAFAEL GARCIA HERREROS,SEDE,URBANA,AV 9 3 45 BR LA UNION,NO TIENE,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",846573.2163,1364984.503
154001000788,COL CLUB DE LEONES,154001007278,CENT DOC SANTA ANA NO 1,SEDE,URBANA,AV 3 NO 5-81 BARRIO SANTA ANA - LA LIBERTAD,5844722,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE","0,1,2,3,4,5",846874.8175,1364663.098
154001000788,COL CLUB DE LEONES,254001008236,COL INTEG BOCONO,SEDE,URBANA,CLL 2 NO 3-07 BARRIO BOCONO,5843970,NUEVO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA",EDUCACIÓN TRADICIONAL,"6,7,8,9,10,11",847021.5184,1364970.907
154001007723,COLEGIO NUESTRA SEÑORA DE BELEN,154001008258,ESC URB  RUDESINDO SOTO NO 49,SEDE,URBANA,AV 30 NO 17-22 BARRIO RUDESINDO SOTO,5824139,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,21,22,23,24,25,26",840123.0039,1363539.13
